x_m,y_m,throttle,heading_rad
7.856190372011471190e-01,3.015744365642103908e+00,6.963019918374305783e-01,1.271850182395544149e-01
7.809728754964440078e-01,3.065452588348632990e+00,6.872813911505002427e-01,1.359737357050874174e-01
7.758378890864929822e-01,3.115109508050765363e+00,6.781408094243852602e-01,1.452442883719982092e-01
7.701863519400918845e-01,3.164714155761560122e+00,6.688753278390184853e-01,1.550003548839333778e-01
7.639923212819682563e-01,3.214252431762223416e+00,6.594796820044936947e-01,1.652625596759282889e-01
7.572296942934546582e-01,3.263716189940855994e+00,6.499482269856131644e-01,1.760240892672990665e-01
7.498728264259590937e-01,3.313097539020241289e+00,6.402748976390810753e-01,1.872810995246800836e-01
7.418980668212612484e-01,3.362379756085435822e+00,6.304531634719028332e-01,1.990207315127801024e-01
7.332824044939750818e-01,3.411547959762427418e+00,6.205692226211861895e-01,2.112483624484782219e-01
7.239995874096113448e-01,3.460608586339231962e+00,6.110023636089246812e-01,2.239396001432545358e-01
7.140312088131599566e-01,3.509529913070419394e+00,6.017482314951593247e-01,2.370747989212196316e-01
7.033578882116481301e-01,3.558293344504638966e+00,5.928040952375434047e-01,2.506383913203937830e-01
6.919579815899885578e-01,3.606894835640678476e+00,5.841614264164390891e-01,2.646255164300344020e-01
6.798106960148395661e-01,3.655328592372349306e+00,5.757981463346687478e-01,2.790362418909064779e-01
6.669048760694171740e-01,3.703555720976806409e+00,5.677148843763271113e-01,2.938364673048632358e-01
6.532268543407333539e-01,3.751555130167847807e+00,5.599044923087933556e-01,3.090143132826332906e-01
6.387533688520328212e-01,3.799341443353398962e+00,5.523600088403169961e-01,3.245583335093997768e-01
6.234758382856694370e-01,3.846881785654998609e+00,5.450774117424450615e-01,3.404575902737725368e-01
6.073895209703586984e-01,3.894139234982176845e+00,5.380422942764729877e-01,3.567214667898601643e-01
5.904874208035443273e-01,3.941090415390703150e+00,5.312467522843760115e-01,3.733418633582907820e-01
5.727399267845233455e-01,3.987774334354150518e+00,5.246883621579332413e-01,3.903064708601444721e-01
5.541574591038881392e-01,4.034124371490203309e+00,5.183613857064228725e-01,4.076153603656238467e-01
5.347402457984770097e-01,4.080109574631856084e+00,5.122621911563007835e-01,4.252740741677889513e-01
5.144881257993605406e-01,4.125704834305898849e+00,5.063863040781125813e-01,4.432935764479055685e-01
4.933602083176929498e-01,4.170973888989143674e+00,5.007271895379707960e-01,4.616880170139636697e-01
4.713885563727913675e-01,4.215821971504611021e+00,4.952824852413320600e-01,4.804783325209651679e-01
